GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
notification-service,com.publicissapient.tour.entity,Email,0,16,0,0,0,4,0,4,0,4
notification-service,com.publicissapient.tour.service,EmailSenderService,0,24,0,0,0,8,0,2,0,2
notification-service,com.publicissapient.tour,NotificationApplication,5,23,0,0,2,3,1,2,1,2
notification-service,com.publicissapient.tour.controller,EmailSenderController,0,10,0,0,0,3,0,2,0,2
